BS_Tilt,BS_Azimuth,BS_Height,Distance,UE_Azimuth,UE_Tilt,LOS,Indoor_Path,Outdoor_Path,RSRP
0.0,68.0,34.0,502.46,11.712,-3.9279,0.0,60.464,441.85,-111.15
0.0,319.0,32.0,589.19,290.46,-1.7013,0.0,95.69,492.03,-109.02
2.0,180.0,28.0,827.76,246.66,-1.9028,0.0,316.63,509.09,-126.65
0.0,310.0,32.0,1069.9,356.57,-1.1512,0.0,59.177,1010.6,-117.96
1.0,297.0,29.0,617.43,356.1,-1.6235,0.0,99.099,518.23,-102.46
0.0,57.0,37.0,958.13,193.15,-2.5398,0.0,90.997,866.82,-105.77
0.0,314.3,32.0,1456.6,228.98,-0.60968,0.0,418.13,1036.0,-125.21
0.0,72.0,35.0,1365.8,346.67,-0.98572,0.0,75.392,1290.0,-118.84
2.0,197.0,32.0,1277.7,335.0,-0.29147,0.0,502.22,774.72,-110.9
0.0,59.0,32.0,471.19,223.11,-4.6711,0.0,70.863,399.64,-79.336
2.0,180.0,28.0,1508.4,285.57,0.13295,0.0,302.33,1202.1,-128.84
0.0,306.0,32.0,1159.2,142.85,-3.5295,0.0,181.6,976.35,-93.586
6.0,299.0,35.0,1271.9,341.48,-0.9234,0.0,119.22,1152.1,-114.77
5.0,183.0,34.0,1411.0,106.05,-2.6579,0.0,82.392,1324.9,-113.9
0.0,152.0,29.0,519.32,185.41,-4.1302,0.0,161.8,357.42,-105.65
0.0,183.0,32.0,777.07,329.28,-1.4375,0.0,171.38,605.05,-102.27
0.0,301.0,34.0,1417.5,97.621,-2.6053,0.0,451.62,961.95,-105.77
2.0,180.0,28.0,1186.5,5.5136,-1.6655,0.0,193.13,993.12,-105.59
0.0,59.0,32.0,1802.3,168.48,-2.3353,0.0,86.993,1714.9,-109.71
0.0,58.0,28.0,1169.1,278.26,-0.41656,0.0,334.86,831.03,-107.77
0.0,41.6,32.0,1628.0,217.19,-0.93256,0.0,212.91,1413.2,-104.4
2.0,180.0,28.0,979.53,316.12,-0.78961,0.0,18.615,959.54,-92.774
0.0,314.0,28.0,1464.9,264.04,-0.29334,0.0,441.75,1019.0,-123.27
0.0,59.0,32.0,600.61,107.44,-6.5065,0.0,61.178,537.88,-106.9
0.0,201.0,35.0,1855.5,353.63,-0.54037,0.0,210.19,1644.9,-113.34
0.0,42.0,29.0,1278.3,173.49,-2.0386,0.0,69.477,1208.5,-109.84
0.0,208.0,35.0,1041.2,344.86,-0.41272,0.0,97.518,943.3,-88.211
0.0,200.0,32.0,1316.0,228.79,-1.2842,0.0,21.82,1291.9,-116.52
0.0,41.6,32.0,931.08,192.22,-2.4293,0.0,233.63,697.16,-105.9
6.0,299.0,35.0,1572.3,354.12,-0.89273,0.0,156.1,1415.9,-101.02
0.0,319.0,32.0,1380.8,61.635,-2.136,0.0,113.89,1263.8,-120.46
0.0,179.0,32.0,978.68,229.39,-1.3755,0.0,94.713,882.25,-131.52
5.0,183.0,34.0,1235.9,78.472,-2.8024,0.0,246.62,985.91,-111.52
0.0,306.0,32.0,1363.3,196.67,-2.2893,0.0,292.21,1070.5,-118.15
0.0,42.0,29.0,681.18,311.01,-1.0513,1.0,0.0,680.06,-93.961
0.0,301.0,34.0,1044.5,122.29,-3.4242,0.0,211.23,831.18,-91.461
0.0,314.0,28.0,631.03,340.27,-2.4047,0.0,23.006,607.75,-106.96
0.0,208.0,35.0,735.26,56.202,-3.3082,0.0,30.06,703.68,-92.399
0.0,282.0,29.0,235.76,345.26,-8.8005,1.0,0.0,235.69,-83.274
0.0,200.0,32.0,586.0,166.58,-5.6041,0.0,39.985,545.85,-105.02
0.0,68.0,34.0,490.1,181.17,-5.6515,0.0,21.819,468.2,-95.086
0.0,58.0,32.0,579.01,97.542,-4.2965,0.0,40.662,536.74,-104.71
0.0,314.3,32.0,337.83,216.09,-5.1588,1.0,0.0,337.45,-83.274
0.0,57.0,37.0,705.82,251.41,-1.988,0.0,174.64,529.35,-98.836
0.0,58.0,28.0,1362.5,253.15,-0.69382,0.0,491.0,867.91,-103.52
0.0,282.0,29.0,896.91,163.28,-2.7767,0.0,154.78,741.81,-98.836
6.0,299.0,35.0,61.855,124.46,-30.545,0.0,37.457,24.278,-70.586
0.0,319.0,32.0,943.85,351.72,-0.94083,0.0,211.63,732.02,-123.34
0.0,319.0,32.0,1751.8,33.309,-1.4552,0.0,259.03,1491.0,-123.59
6.0,299.0,35.0,1402.0,303.95,-0.22476,0.0,275.92,1123.3,-123.71
0.0,309.0,32.0,741.65,117.81,-3.5107,0.0,139.08,600.93,-97.149
6.0,299.0,35.0,1223.5,350.02,-1.2876,0.0,303.96,919.26,-118.46
0.0,183.0,32.0,1830.9,24.045,-1.2047,0.0,112.47,1717.2,-103.84
0.0,314.0,28.0,1443.6,264.12,-0.33734,0.0,446.39,993.14,-128.09
0.0,58.0,32.0,2118.5,11.49,-0.71667,0.0,692.59,1425.3,-114.71
